Date,GDP_Level_Current,GDP_Level_Chained2009_Dollars,GDP_Percent_Change_Current,GDP_Percent_Chained2009_Dollars
1930,92.2,965.8,-11.9,-8.5
1931,77.4,904.1,-16,-6.4
1932,59.5,787.5,-23.1,-12.9
1933,57.2,777.6,-4,-1.3
1934,66.8,861.4,16.9,10.8
1935,74.3,938.2,11.1,8.9
1936,84.9,1059.6,14.3,12.9
1937,93,1113.6,9.6,5.1
1938,87.4,1076.7,-6.1,-3.3
1939,93.5,1162.6,7,8
1940,102.9,1265,10.1,8.8
1941,129.4,1488.9,25.7,17.7
1942,166,1770.3,28.3,18.9
1943,203.1,2072,22.4,17
1944,224.6,2237.5,10.5,8
1945,228.2,2215.9,1.6,-1
1946,227.8,1959,-0.2,-11.6
1947,249.9,1937.6,9.7,-1.1
1948,274.8,2018,9.9,4.1
1949,272.8,2007,-0.7,-0.5
1950,300.2,2181.9,10,8.7
1951,347.3,2357.7,15.7,8.1
1952,367.7,2453.7,5.9,4.1
1953,389.7,2568.9,6,4.7
1954,391.1,2554.4,0.4,-0.6
1955,426.2,2736.4,9,7.1
1956,450.1,2794.7,5.6,2.1
1957,474.9,2853.5,5.5,2.1
1958,482,2832.6,1.5,-0.7
1959,522.5,3028.1,8.4,6.9
1960,543.3,3105.8,4,2.6
1961,563.3,3185.1,3.7,2.6
1962,605.1,3379.9,7.4,6.1
1963,638.6,3527.1,5.5,4.4
1964,685.8,3730.5,7.4,5.8
1965,743.7,3972.9,8.4,6.5
1966,815,4234.9,9.6,6.6
1967,861.7,4351.2,5.7,2.7
1968,942.5,4564.7,9.4,4.9
1969,1019.9,4707.9,8.2,3.1
1970,1075.9,4717.7,5.5,0.2
1971,1167.8,4873,8.5,3.3
1972,1282.4,5128.8,9.8,5.2
1973,1428.5,5418.2,11.4,5.6
1974,1548.8,5390.2,8.4,-0.5
1975,1688.9,5379.5,9,-0.2
1976,1877.6,5669.3,11.2,5.4
1977,2086,5930.6,11.1,4.6
1978,2356.6,6260.4,13,5.6
1979,2632.1,6459.2,11.7,3.2
1980,2862.5,6443.4,8.8,-0.2
1981,3210.9,6610.6,12.2,2.6
1982,3345,6484.3,4.2,-1.9
1983,3638.1,6784.7,8.8,4.6
1984,4040.7,7277.2,11.1,7.3
1985,4346.7,7585.7,7.6,4.2
1986,4590.1,7852.1,5.6,3.5
1987,4870.2,8123.9,6.1,3.5
1988,5252.6,8465.4,7.9,4.2
1989,5657.7,8777,7.7,3.7
1990,5979.6,8945.4,5.7,1.9
1991,6174,8938.9,3.3,-0.1
1992,6539.3,9256.7,5.9,3.6
1993,6878.7,9510.8,5.2,2.7
1994,7308.7,9894.7,6.3,4
1995,7664,10163.7,4.9,2.7
1996,8100.2,10549.5,5.7,3.8
1997,8608.5,11022.9,6.3,4.5
1998,9089.1,11513.4,5.6,4.4
1999,9665.7,12071.4,6.3,4.8
2000,10289.7,12565.2,6.5,4.1
2001,10625.3,12684.4,3.3,1
2002,10980.2,12909.7,3.3,1.8
2003,11512.2,13270,4.8,2.8
2004,12277,13774,6.6,3.8
2005,13095.4,14235.6,6.7,3.4
2006,13857.9,14615.2,5.8,2.7
2007,14480.3,14876.8,4.5,1.8
2008,14720.3,14833.6,1.7,-0.3
2009,14417.9,14417.9,-2.1,-2.8
2010,14958.3,14779.4,3.7,2.5
2011,15533.8,15052.4,3.8,1.8
2012,16244.6,15470.7,4.6,2.8
2013,16799.7,15761.3,3.4,1.9
