Country,Currency,Indicator_Name,GDP_Year_1970,GDP_Year_1971,GDP_Year_1972,GDP_Year_1973,GDP_Year_1974,GDP_Year_1975,GDP_Year_1976,GDP_Year_1977,GDP_Year_1978,GDP_Year_1979,GDP_Year_1980,GDP_Year_1981,GDP_Year_1982,GDP_Year_1983,GDP_Year_1984,GDP_Year_1985,GDP_Year_1986,GDP_Year_1987,GDP_Year_1988,GDP_Year_1989,GDP_Year_1990,GDP_Year_1991,GDP_Year_1992,GDP_Year_1993,GDP_Year_1994,GDP_Year_1995,GDP_Year_1996,GDP_Year_1997,GDP_Year_1998,GDP_Year_1999,GDP_Year_2000,GDP_Year_2001,GDP_Year_2002,GDP_Year_2003,GDP_Year_2004,GDP_Year_2005,GDP_Year_2006,GDP_Year_2007,GDP_Year_2008,GDP_Year_2009,GDP_Year_2010,GDP_Year_2011,GDP_Year_2012,GDP_Year_2013,GDP_Year_2014,GDP_Year_2015,GDP_Year_2016,GDP_Year_2017,GDP_Year_2018,GDP_Year_2019,GDP_Year_2020
Afghanistan,Afghani,Final consumption expenditure,74842341,80841530,72319645,72764132,85830368,95907780,100440944,116284870,129773266,141741707,144254364,151731661,155293551,154386997,152551424,150808450,150391505,135111716,122894752,144526987,161186662,159094582,167846167,143777765,762560507,2486308887,7477209182,10127375725,10489453156,124435000000,200909000000,219099000000,236241000000,305741000000,340364000000,392406000000,434836000000,570245000000,639784000000,672967000000,789122000000,892225000000,1003840000000,1076300000000,1110370000000,1169480000000,1261760000000,1219920000000,1438900000000,1761490000000,1628090000000
Afghanistan,Afghani,Household consumption expenditure (including Non-profit institutions serving households),69796803,75391553,67444176,67858699,80044067,89442104,93669662,108445462,121024529,132186112,134529377,141502584,144824357,143978911,142267070,140641648,140252757,126003033,114609878,134783422,150319998,148370067,156529246,134084705,711177049,2318526011,6973427004,9445774993,9779273756,116098000000,187439000000,204000000000,220769000000,284376000000,312604000000,356932000000,389523000000,508525000000,570824000000,583318000000,655588000000,737072000000,816116000000,863705000000,873031000000,915786000000,980420000000,946461000000,1175210000000,1405140000000,1354290000000
Afghanistan,Afghani,General government final consumption expenditure,5045538,5449977,4875469,4905434,5786301,6465676,6771281,7839408,8748737,9555595,9724987,10229077,10469194,10408086,10284354,10166802,10138748,9108683,8284874,9743565,10866665,10724515,11316921,9693060,51383458,167782876,503782178,681600732,710179399,8336897135,13469951114,15099422831,15471738972,21364702658,27759601073,35474218783,45312347850,61720465714,68960085524,89649387644,133534000000,155153000000,187724000000,212590000000,237340000000,253694000000,281337000000,273463000000,263688000000,356350000000,273796000000
Afghanistan,Afghani,Gross capital formation,4257383,4455400,4655393,5477588,7877509,9977433,14521726,16321653,19688210,21322598,21283699,22736661,23183199,22984885,22779544,22495325,22426740,20158878,18331539,21558225,24045338,22835900,22914947,18766697,94045302,293822761,846042706,1103212191,1097453076,12395065806,19355015860,22724341185,22987797733,26227931877,40614232317,60291825243,77223209094,82437546879,81304458205,86503582195,98349820407,105487000000,125055000000,139102000000,145850000000,156783000000,153848000000,173633000000,200603000000,170303000000,181686000000
Afghanistan,Afghani,Gross fixed capital formation (including Acquisitions less disposals of valuables),4257383,4455400,4655393,5477588,7877509,9977433,14521726,16321653,19688210,21322598,21283699,22736661,23183199,22984885,22779544,22495325,22426740,20158878,18331539,21558225,24045338,22835900,22914947,18766697,94045302,293822761,846042706,1103212191,1097453076,12395065806,19355015860,22724341185,22987797733,26227931877,40614232317,60291825243,77223209094,82437546879,81304458205,86503582195,98349820407,105487000000,125055000000,139102000000,145850000000,156783000000,153848000000,173633000000,200603000000,170303000000,181686000000
Afghanistan,Afghani,Exports of goods and services,7452582,8710809,10244089,10210753,12821782,13521749,14821708,15432795,15966110,18554405,18616684,19367486,20055432,19856442,19597699,19414997,19341293,17375703,15810367,18588835,20732664,22865863,27272786,25668979,150824684,526028611,1682506008,2393062199,2599544985,32506931436,54244168763,58012168819,59610943615,95033653375,96954273409,101500000000,116461000000,119937000000,132239000000,138995000000,124773000000,97985041710,104653000000,135975000000,158692000000,185698000000,203769000000,302101000000,221644000000,179251000000,204336000000
Afghanistan,Afghani,Imports of goods and services,8787168,12432907,13066209,11832916,13755081,15021699,16677200,19121560,20399289,22842503,23224644,24244340,24942890,24774512,24452983,24198527,24123877,21670060,19714419,23182524,25854780,32623323,43732794,44285677,278311529,1008792622,3331224589,4849780514,5380862944,68768978942,116237000000,128908000000,123099000000,185255000000,197458000000,211479000000,223397000000,235921000000,209931000000,202071000000,237071000000,268830000000,356736000000,389098000000,363664000000,379660000000,396457000000,410197000000,533460000000,641452000000,493722000000
Afghanistan,Afghani,Gross Domestic Product (GDP),77911878,81574837,74152916,76619555,92774575,104385259,113107176,128917758,145028303,158776212,160930107,169591475,173589299,172453817,170475688,168520249,168035667,150976242,137322243,161491528,180109889,172172997,174301038,143927675,729118301,2297365030,6674524156,8773855716,8805572314,100568000000,158271000000,170927000000,195741000000,230601000000,257814000000,307885000000,354705000000,470251000000,514400000000,583525000000,682800000000,811093000000,974457000000,1086610000000,1119230000000,1144180000000,1222920000000,1285460000000,1327690000000,1469600000000,1520390000000
Afghanistan,Afghani,"Agriculture, hunting, forestry, fishing (ISIC A-B)",39144915,40985832,37256238,38495566,46614472,52443029,56828137,64783653,72840388,79787105,80913587,85042327,87361221,86852866,84820381,85705731,84814492,72469845,79587587,107412351,76386180,79884449,94483549,88227694,531435439,1524240223,4272634989,5476357142,5347113177,59006248856,90677543279,92408599810,88346347435,96629884975,91814879525,108214000000,121995000000,165838000000,158973000000,191312000000,211079000000,241945000000,278267000000,302925000000,307554000000,292135000000,314783000000,339621000000,292661000000,378773000000,410712000000
Afghanistan,Afghani,"Mining, Manufacturing, Utilities (ISIC C-E)",16950494,17747432,16132515,16669478,20184170,22708862,24609279,28047442,31545041,34558276,35005941,36861823,37855412,37446464,36970353,37109443,36014547,32601317,24979320,25595537,35196549,35036284,24167467,15693733,60464622,130325123,447980556,724517633,909339990,13662984389,26180666401,32745393170,34500281838,34321318564,36786434106,39985839233,42083468241,55987864461,59048738705,51779261816,53567157209,68156742547,74155431387,72842349677,72013478927,74063576359,87968286106,88744062782,129898000000,161174000000,141533000000
