date,Breitling Market Index (USD)
Fri Nov 30 2018,0
Sat Dec 01 2018,0
Sun Dec 02 2018,0
Mon Dec 03 2018,0
Tue Dec 04 2018,0
Wed Dec 05 2018,0
Thu Dec 06 2018,0
Fri Dec 07 2018,0
Sat Dec 08 2018,0
Sun Dec 09 2018,0
Mon Dec 10 2018,0
Tue Dec 11 2018,0
Wed Dec 12 2018,0
Thu Dec 13 2018,0
Fri Dec 14 2018,0
Sat Dec 15 2018,0
Sun Dec 16 2018,0
Mon Dec 17 2018,0
Tue Dec 18 2018,0
Wed Dec 19 2018,0
Thu Dec 20 2018,0
Fri Dec 21 2018,0
Sat Dec 22 2018,0
Sun Dec 23 2018,0
Mon Dec 24 2018,0
Tue Dec 25 2018,0
Wed Dec 26 2018,0
Thu Dec 27 2018,0
Fri Dec 28 2018,0
Sat Dec 29 2018,0
Sun Dec 30 2018,0
Mon Dec 31 2018,0
Tue Jan 01 2019,4081
Wed Jan 02 2019,4081
Thu Jan 03 2019,4079
Fri Jan 04 2019,4079
Sat Jan 05 2019,4084
Sun Jan 06 2019,4084
Mon Jan 07 2019,4084
Tue Jan 08 2019,4084
Wed Jan 09 2019,4084
Thu Jan 10 2019,4085
Fri Jan 11 2019,4085
Sat Jan 12 2019,4082
Sun Jan 13 2019,4082
Mon Jan 14 2019,4080
Tue Jan 15 2019,4080
Wed Jan 16 2019,4080
Thu Jan 17 2019,4076
Fri Jan 18 2019,4073
Sat Jan 19 2019,4062
Sun Jan 20 2019,4052
Mon Jan 21 2019,4055
Tue Jan 22 2019,4060
Wed Jan 23 2019,4069
Thu Jan 24 2019,4063
Fri Jan 25 2019,4049
Sat Jan 26 2019,4045
Sun Jan 27 2019,4062
Mon Jan 28 2019,4043
Tue Jan 29 2019,4042
Wed Jan 30 2019,4029
Thu Jan 31 2019,4047
Fri Feb 01 2019,4042
Sat Feb 02 2019,4040
Sun Feb 03 2019,4037
Mon Feb 04 2019,4036
Tue Feb 05 2019,4022
Wed Feb 06 2019,4039
Thu Feb 07 2019,4037
Fri Feb 08 2019,4031
Sat Feb 09 2019,4034
Sun Feb 10 2019,4030
Mon Feb 11 2019,4033
Tue Feb 12 2019,4015
Wed Feb 13 2019,4015
Thu Feb 14 2019,4012
Fri Feb 15 2019,4009
Sat Feb 16 2019,3999
Sun Feb 17 2019,4001
Mon Feb 18 2019,4023
Tue Feb 19 2019,4024
Wed Feb 20 2019,4025
Thu Feb 21 2019,4022
Fri Feb 22 2019,4019
Sat Feb 23 2019,4011
Sun Feb 24 2019,4009
Mon Feb 25 2019,4005
Tue Feb 26 2019,4006
Wed Feb 27 2019,4007
Thu Feb 28 2019,4002
Fri Mar 01 2019,4012
Sat Mar 02 2019,4008
Sun Mar 03 2019,4004
Mon Mar 04 2019,3988
Tue Mar 05 2019,3987
Wed Mar 06 2019,3994
Thu Mar 07 2019,3993
Fri Mar 08 2019,3981
Sat Mar 09 2019,3981
Sun Mar 10 2019,3981
Mon Mar 11 2019,3979
Tue Mar 12 2019,3976
Wed Mar 13 2019,3976
Thu Mar 14 2019,3973
Fri Mar 15 2019,3969
Sat Mar 16 2019,3964
Sun Mar 17 2019,3958
Mon Mar 18 2019,3958
Tue Mar 19 2019,3954
Wed Mar 20 2019,3953
Thu Mar 21 2019,3956
Fri Mar 22 2019,3948
Sat Mar 23 2019,3952
Sun Mar 24 2019,3948
Mon Mar 25 2019,3950
Tue Mar 26 2019,3948
Wed Mar 27 2019,3948
Thu Mar 28 2019,3939
Fri Mar 29 2019,3944
Sat Mar 30 2019,3944
Sun Mar 31 2019,3944
Mon Apr 01 2019,3945
Tue Apr 02 2019,3944
Wed Apr 03 2019,3939
Thu Apr 04 2019,3939
Fri Apr 05 2019,3936
Sat Apr 06 2019,3935
Sun Apr 07 2019,3942
Mon Apr 08 2019,3941
Tue Apr 09 2019,3940
Wed Apr 10 2019,3937
Thu Apr 11 2019,3928
